时间(s),温度(摄氏度)
0,25
0.5,25
1,25
1.5,25
2,25
2.5,25
3,25
3.5,25
4,25
4.5,25
5,25
5.5,25
6,25
6.5,25
7,25
7.5,25
8,25
8.5,25
9,25
9.5,25
10,25
10.5,25
11,25
11.5,25
12,25
12.5,25
13,25
13.5,25
14,25
14.5,25
15,25
15.5,25.0000015164572
16,25.0033247175487
16.5,25.0554946832051
17,25.2533479421574
17.5,25.6653519480795
18,26.3062925585613
18.5,27.1543986315475
19,28.1693369203932
19.5,29.3031756299577
20,30.5061701002696
20.5,31.7296598643071
21,32.9275117184288
21.5,34.0568988362403
22,35.0788389636327
22.5,35.958716138761
23,36.6668951061467
23.5,37.2690464793284
24,37.88963124301
24.5,38.5304685951907
25,39.1923181720553
25.5,39.8760350388981
26,40.5825005850264
26.5,41.3125038781747
27,42.0666132990564
27.5,42.8450777349281
28,43.6477762097196
28.5,44.4742149261181
29,45.3235598907783
29.5,46.1946907429123
30,47.0862634346261
30.5,47.9967729814095
31,48.9246109414959
31.5,49.8681149521305
32,50.8256094652063
32.5,51.7954379281181
33,52.7759872448955
33.5,53.7657056035561
34,54.7631148014357
34.5,55.7668181329083
35,56.7755047825117
35.5,57.7879515267814
36,58.8030224101834
36.5,59.8196669346572
37,60.8369171926987
37.5,61.8538842814803
38,62.8697542592784
38.5,63.8837838436713
39,64.8952960015229
39.5,65.9036755416479
40,66.9083647904081
40.5,67.9088594066921
41,68.9047043744328
41.5,69.8954901968586
42,70.8808493061596
42.5,71.8604526944105
43,72.8340067658444
43.5,73.8012504064366
44,74.7619522638603
44.5,75.7159082289324
45,76.6629391084289
45.5,77.6028884784575
46,78.5356207072772
46.5,79.4610191364501
47,80.378984409411
47.5,81.289432936893
48,82.192295489092
48.5,83.0875159049639
49,83.9750499095891
49.5,84.8548640311002
50,85.7269346092262
50.5,86.5912468880524
51,87.4477941861304
51.5,88.296577137575
52,89.1376029982711
52.5,89.9708850117657
53,90.79644182985
53.5,91.6142969832317
54,92.4244783980711
54.5,93.2270179544997
55,94.0219510835562
55.5,94.8093163992729
56,95.5891553629155
56.5,96.3615119766306
57,97.1264325039853
57.5,97.883965215097
58,98.634160154243
58.5,99.3770689280225
59,100.112744512303
59.5,100.841241076336
60,101.562613822566
60.5,102.276918840782
61,102.984212975363
61.5,103.684553704514
62,104.377999030425
62.5,105.064607379435
63,105.744437511327
63.5,106.417548436959
64,107.083999343516
64.5,107.743849526724
65,108.397158329418
65.5,109.043985085907
66,109.684389071654
66.5,110.318429457779
67,110.94616526999
67.5,111.567655351544
68,112.182958329893
68.5,112.79213258668
69,113.395236230815
69.5,113.992327074335
70,114.583462610827
70.5,115.168699996174
71,115.748096031423
71.5,116.321707147591
72,116.889589392236
72.5,117.451798417636
73,118.008389470431
73.5,118.559417382605
74,119.104936563679
74.5,119.645000994014
75,120.179664219119
75.5,120.708979344877
76,121.232999033605
76.5,121.751775500867
77,122.265360512981
77.5,122.773805385145
78,123.277160980137
78.5,123.775477707519
79,124.268805523318
79.5,124.75719393012
80,125.240691977551
80.5,125.719348263097
81,126.193210933245
81.5,126.662327684896
82,127.126745767031
82.5,127.586511982611
83,128.041672690675
83.5,128.492273808623
84,128.938360814663
84.5,129.379978750404
85,129.817172223571
85.5,130.249985410853
86,130.678462060832
86.5,131.102645497013
87,131.522578620934
87.5,131.938303915334
88,132.34986344739
88.5,132.757298872002
89,133.160651435113
89.5,133.55996197708
90,133.955270936059
90.5,134.346618351427
91,134.734043867209
91.5,135.117586735537
92,135.497285820098
92.5,135.873179599604
93,136.245306171258
93.5,136.613703254217
94,136.978408193054
94.5,137.339457961214
95,137.696889164459
95.5,138.050738044303
96,138.401040481435
96.5,138.747831999124
97,139.091147766614
97.5,139.431022602496
98,139.767490978061
98.5,140.100587020639
99,140.430344516911
99.5,140.7567969162
100,141.079977333743
100.5,141.39991855394
101,141.71665303357
101.5,142.030212904998
102,142.340629979341
102.5,142.647935749626
103,142.952161393902
103.5,143.253337778349
104,143.551495460341
104.5,143.846664691496
105,144.138875420695
105.5,144.428157297075
106,144.714539672993
106.5,144.998051606968
107,145.278721866597
107.5,145.556578931436
108,145.831650995867
108.5,146.103965971928
109,146.373551492123
109.5,146.640434912203
110,146.90464331392
110.5,147.16620350776
111,147.425142035643
111.5,147.681485173604
112,147.935258934442
112.5,148.186489070349
113,148.43520107551
113.5,148.68142018868
114,148.925171395735
114.5,149.1664794322
115,149.405368785746
115.5,149.641863698674
116,149.875988170364
116.5,150.107765959705
117,150.337220587498
117.5,150.564375338845
118,150.789253265497
118.5,151.011877188196
119,151.232269698986
119.5,151.450453163498
120,151.666449723222
120.5,151.880281297745
121,152.091969586978
121.5,152.301536073352
122,152.509002023996
122.5,152.714388492896
123,152.917716323024
123.5,153.119006148459
124,153.318278396472
124.5,153.515553289602
125,153.710850847707
125.5,153.904190889989
126,154.095593037012
126.5,154.285076712687
127,154.472661146242
127.5,154.658365374175
128,154.842208242186
128.5,155.024208407083
129,155.204384338681
129.5,155.382754321674
130,155.559336457485
130.5,155.734148666112
131,155.907208687938
131.5,156.078534085533
132,156.248142245439
132.5,156.41605037993
133,156.58227552876
133.5,156.746834560893
134,156.909744176214
134.5,157.071020907223
135,157.23068112071
135.5,157.388741019422
136,157.545216643703
136.5,157.700123873121
137,157.853478428081
137.5,158.00529587142
138,158.155591609985
138.5,158.3043808962
139,158.451678829608
139.5,158.597500358408
140,158.741860280971
140.5,158.884773247339
141,159.026253760716
141.5,159.166316178935
142,159.304974715918
142.5,159.44224344312
143,159.578136290952
143.5,159.712667050198
144,159.845849373415
144.5,159.977696776317
145,160.108222639146
145.5,160.237440208032
146,160.365362596335
146.5,160.492002785976
147,160.617373628758
147.5,160.741487847664
148,160.864358038155
148.5,160.986625831939
149,161.109204358465
149.5,161.232067246717
150,161.355182005356
150.5,161.478526890721
151,161.602109571041
151.5,161.725993377504
152,161.850322803954
152.5,161.975340453365
153,162.101392018625
153.5,162.228920132375
154,162.358450216489
154.5,162.490571940235
155,162.62591934124
155.5,162.765151756082
156,162.908936836977
156.5,163.057936253183
157,163.212794213376
157.5,163.374128664407
158,163.542524874041
158.5,163.718531045916
159,163.902655609709
159.5,164.095365854187
160,164.296401846994
160.5,164.504701135337
161,164.720350810887
161.5,164.943420284624
162,165.173917309464
162.5,165.411765375603
163,165.656783448711
163.5,165.908678980487
164,166.16705608267
164.5,166.431434437289
165,166.701273014777
165.5,166.975993902979
166,167.255003450466
166.5,167.53770950826
167,167.823534579001
167.5,168.111925233362
168,168.402358384908
168.5,168.69434506015
169,168.987432252192
169.5,169.281203359494
170,169.575277616346
170.5,169.869308833388
171,170.162983690845
171.5,170.45601976537
172,170.748163422537
172.5,171.039187669263
173,171.32889003176
173.5,171.617090503193
174,171.903629589381
174.5,172.188366469355
175,172.471177279336
175.5,172.752067280658
176,173.032959779771
176.5,173.3144579111
177,173.596420529635
177.5,173.87873986115
178,174.161396005864
178.5,174.444529503657
179,174.728500945095
179.5,175.013917398817
180,175.301624482587
180.5,175.592674073407
181,175.888279751054
181.5,176.189769520348
182,176.498541761105
182.5,176.8160273553
183,177.143658928848
183.5,177.482846987043
184,177.834962158484
184.5,178.201322561912
185,178.583185309919
185.5,178.981741259337
186,179.398112250169
186.5,179.833350210866
187,180.288356755123
187.5,180.761363567703
188,181.251590069407
188.5,181.759331063349
189,182.284652934286
189.5,182.827208570522
190,183.386114883152
190.5,183.959968681486
191,184.546968490191
191.5,185.145074634125
192,185.752158143932
192.5,186.366116490186
193,186.98495266215
193.5,187.606822757372
194,188.230059746225
194.5,188.85318066377
195,189.47488305859
195.5,190.094034992277
196,190.709661575204
196.5,191.320930022383
197,191.927134491029
197.5,192.527681461518
198,193.122076087933
198.5,193.70990972551
199,194.290848703715
199.5,194.864624329265
200,195.431024054705
200.5,195.989883722681
201,196.54108078528
201.5,197.084528396064
202,197.620170276058
202.5,198.147976261524
203,198.666289766388
203.5,199.169871920803
204,199.658667104473
204.5,200.133083515712
205,200.593650645528
205.5,201.041092506927
206,201.476338396082
206.5,201.900471628339
207,202.314650664393
207.5,202.720033030865
208,203.117716838578
208.5,203.508702822194
209,203.893874035068
209.5,204.273988619692
210,204.649681314752
210.5,205.021470268743
211,205.389766701645
211.5,205.754885767541
212,206.117057577337
212.5,206.476437765142
213,206.833117265633
213.5,207.187131152212
214,207.538466498626
214.5,207.888394343611
215,208.24264633971
215.5,208.602080504495
216,208.966906069741
216.5,209.337312730145
217,209.713446820497
217.5,210.095378807846
218,210.483075065158
218.5,210.876383626963
219,211.275035899815
219.5,211.678660766487
220,212.086805707161
220.5,212.498960167399
221,212.9145778916
221.5,213.333096401397
222,213.753952889744
222.5,214.176596491408
223,214.600497264283
223.5,215.025152376767
224,215.450090029914
224.5,215.874871608475
225,216.29909249021
225.5,216.722381869425
226,217.144401880319
226.5,217.564846243518
227,217.983438606836
227.5,218.399930708781
228,218.814100459536
228.5,219.225750007749
229,219.634703841262
229.5,220.040806954499
230,220.443923103763
230.5,220.843933163136
231,221.240733587511
231.5,221.634234984782
232,222.024360796119
232.5,222.411046081086
233,222.794236402983
233.5,223.173886808914
234,223.549960898614
234.5,223.922429975891
235,224.291272276563
235.5,224.656472266889
236,225.018020006774
236.5,225.375910572295
237,225.730143532443
237.5,226.08072247533
238,226.427654579412
238.5,226.770950225698
239,227.110622647148
239.5,227.446687611874
240,227.779163136955
240.5,228.108069230041
241,228.433427656098
241.5,228.755261726949
242,229.07359611142
242.5,229.388456664155
243,229.699870271306
243.5,230.007864711484
244,230.312468530518
244.5,230.61371092869
245,230.911621659246
245.5,231.206230937102
246,231.497569356762
246.5,231.785667818552
247,232.070557462379
247.5,232.352269608277
248,232.630835703087
248.5,232.906287272678
249,233.178655879166
249.5,233.447973082656
250,233.714270407055
250.5,233.977579309565
251,234.237931153509
251.5,234.495357184138
252,234.749888507156
252.5,235.001556069679
253,235.2503906434
253.5,235.496422809731
254,235.739682946742
254.5,235.980201217713
255,236.218007561134
255.5,236.453131682022
256,236.685603044414
256.5,236.915450864922
257,237.142704107246
257.5,237.36691755943
258,237.584405736651
258.5,237.794548564685
259,237.997521831043
259.5,238.193440956138
260,238.382269675005
260.5,238.563716272159
261,238.737173956569
261.5,238.901732817024
262,239.056253257548
262.5,239.199472783092
263,239.330118618123
263.5,239.447007521567
264,239.549123652573
264.5,239.635672312698
265,239.706111465699
265.5,239.76016479113
266,239.797820487133
266.5,239.819319750797
267,239.825138255743
267.5,239.815963260017
268,239.792668335979
268.5,239.756287168633
269,239.70782188704
269.5,239.646029467589
270,239.569881318445
270.5,239.478763461384
271,239.372068087166
271.5,239.249193319115
272,239.109543759184
272.5,238.952532757615
273,238.777587210238
273.5,238.584155141212
274,238.371715642576
274.5,238.139790208759
275,237.887954272494
275.5,237.615847808759
276,237.323184127536
276.5,237.00975631033
277,236.675441071232
277.5,236.320200089683
278,235.944079050051
278.5,235.547204734952
279,235.129780567987
279.5,234.692081003963
280,234.234445136648
280.5,233.757269848667
281,233.261002775261
281.5,232.74613529986
282,232.213195749013
282.5,231.662742909464
283,231.095359952052
283.5,230.511648815658
284,229.912225079337
284.5,229.297713331292
285,228.668743028685
285.5,228.025944831662
286,227.369947387599
286.5,226.701374536854
287,226.020842908554
287.5,225.328959873785
288,224.626321823496
288.5,223.913512739245
289,223.19110302623
289.5,222.459648579827
290,221.719690058779
290.5,220.971752340283
291,220.216344134278
291.5,219.453957736346
292,218.685068900579
292.5,217.910136815685
293,217.129604169351
293.5,216.343897287528
294,215.553426336788
294.5,214.758585579314
295,213.959753671274
295.5,213.157293996516
296,212.351555028489
296.5,211.542870714223
297,210.731560875003
297.5,209.917931619101
298,209.102275762556
298.5,208.284873254578
299,207.465991604626
299.5,206.645886308683
300,205.824801272608
300.5,205.002969230797
301,204.180612158705
301.5,203.357941677984
302,202.535159453289
302.5,201.712457579942
303,200.890018961848
303.5,200.068017679188
304,199.246619345562
304.5,198.425981454324
305,197.606253714001
305.5,196.787578372703
306,195.970090531569
306.5,195.153918447274
307,194.339183823743
307.5,193.526002093207
308,192.714482686786
308.5,191.904729294814
309,191.096840117141
309.5,190.290908103654
310,189.487021185277
310.5,188.685262495736
311,187.88571058435
311.5,187.088439620132
312,186.293519587492
312.5,185.501016473818
313,184.710992449218
313.5,183.923506038697
314,183.13861228706
314.5,182.356362916788
315,181.576806479172
315.5,180.799988498958
316,180.025951612746
316.5,179.254735701407
317,178.486378016744
317.5,177.720913302627
318,176.958373910843
318.5,176.198789911858
319,175.442189200718
319.5,174.688597598276
320,173.938038947964
320.5,173.190535208266
321,172.446106541103
321.5,171.704771396294
322,170.966546592251
322.5,170.231447393089
323,169.499487582288
323.5,168.77067953307
324,168.045034275622
324.5,167.322561561312
325,166.603269924027
325.5,165.887166738748
326,165.174258277507
326.5,164.464549762811
327,163.758045418676
327.5,163.054748519347
328,162.35466143583
328.5,161.657785680317
329,160.964121948608
329.5,160.273670160608
330,159.586429499001
330.5,158.902398446159
331,158.22157481939
331.5,157.543955804576
332,156.869537988294
332.5,156.198317388467
333,155.530289483629
333.5,154.865449240853
334,154.203791142407
334.5,153.5453092112
335,152.889997035058
